seriesuid	coordX	coordY	coordZ	probability
1	-53.26694022	-51.27201319	-138.5624602	0.999941576
1	-41.15095149	-53.03078055	-128.920317	0.999569905
1	-63.39913498	91.17414236	-196.2228826	0.95381272
1	-15.20328294	48.5479188	-129.4394877	0.945919626
1	-45.08996855	52.08425045	-157.724686	0.927309152
1	-31.349398	64.3469882	-68.37539701	0.908614493
1	131.9844388	54.70197916	-184.2393115	0.857075234
1	-4.300274952	-79.4832623	-185.0596002	0.853515436
1	67.49037971	76.53269291	-113.1180385	0.840328728
1	147.289574	19.97112751	-170.1447204	0.831521088
1	-12.46617447	-56.75266743	-185.7908919	0.811171482
1	120.1716684	-53.60320687	-113.8762095	0.6984525
1	-36.68419371	-28.9443934	-54.09822493	0.62269306
1	-105.2266396	-0.237085819	-125.1409438	0.528212237
1	142.8132032	3.341860771	-108.1802085	0.512201157
1	4.050857917	31.44390106	-196.8645385	0.511077384
1	-37.30719577	-32.17285037	-73.51861982	0.504111671
1	-99.89297579	7.987146378	-153.939276	0.500358585
1	-40.16785751	-73.10801625	-205.5720451	0.469394302
1	7.871256963	-61.2674582	-137.5519374	0.437144888
1	-83.407454	47.75299788	-133.2931712	0.38231738
1	74.71333255	99.81684208	-173.6500028	0.377280441
1	-20.40686499	67.91241646	-206.0282257	0.377222757
1	-72.82377373	-64.61958647	-213.7963322	0.338208701
1	-36.8440641	-75.58162451	-202.0137885	0.321216866
1	-65.02088438	12.46291637	-93.87403517	0.321139468
1	-80.20854424	-4.798471928	-109.51808	0.31174137
1	-68.32728635	84.1631484	-165.3560355	0.295586677
1	-87.93977569	70.85327625	-137.7971461	0.25150724
1	-68.79645835	71.07570648	-121.8013766	0.227392808
1	-47.36765753	92.18859673	-172.7954009	0.225550066
1	88.61346234	-49.04615521	-85.11327772	0.220439088
1	-107.599783	43.12642336	-166.0957244	0.218195805
1	-43.82986675	-52.98184633	-132.6326755	0.217673586
1	-25.28938661	56.19352341	-58.12313108	0.212866389
1	-84.86976753	-16.02767944	-78.2036212	0.198775416
1	-16.9347025	-60.82826257	-193.6294511	0.178202358
1	-84.59742676	-59.66983795	-229.9862316	0.162818909
1	-53.13042651	-7.423335314	-73.56700926	0.162565802
1	-11.88369523	-16.76716447	-185.8829215	0.160631351
1	128.190422	-4.409669638	-169.6464065	0.151909095
1	-12.75696884	-60.60367584	-185.1246217	0.14901304
1	143.7164854	31.00537062	-169.1834929	0.144598314
1	-28.92681609	-75.5118978	-141.334677	0.144100178
1	55.71187724	39.49258804	-201.6931012	0.139499663
1	127.7295326	-28.82811427	-205.6168368	0.138295721
1	56.3221549	35.02319098	-186.0374024	0.117363871
1	144.1643928	22.74212837	-169.6299365	0.116207557
1	-32.16065894	63.1532979	-62.52389936	0.114270756
